disk,cpu_id,sequence_number,timestamp,process_id,action,operation,sector_number,request_size,process_name
"8,16",2,4,1266874890,19245,I,R,2427480,256,[java]
"8,16",2,5,1266874890,19245,D,R,2427480,256,[java]
"8,16",2,7,1266874890,0,C,R,2427480,256,[0]
"8,16",2,11,1266874890,19245,I,R,2279760,256,[java]
"8,16",2,12,1266874890,19245,D,R,2279760,256,[java]
"8,16",2,14,1266874890,0,C,R,2279760,256,[0]
"8,16",2,18,1266874890,19245,I,R,2280016,256,[java]
"8,16",2,19,1266874890,19245,D,R,2280016,256,[java]
"8,16",2,24,1266874890,19245,I,R,2280272,256,[java]
"8,16",2,26,1266874890,19245,D,R,2280272,256,[java]
"8,16",2,27,1266874890,0,C,R,2280016,256,[0]
"8,16",2,28,1266874890,0,C,R,2280272,256,[0]
"8,16",2,32,0.040968084,19245,I,R,2410936,256,[java]
"8,16",2,34,0.040975851,19245,D,R,2410936,256,[java]
"8,16",2,35,0.060759459,0,C,R,2410936,256,[0]
"8,16",2,39,0.060993778,19245,I,R,1703944,256,[java]
"8,16",2,40,0.060997998,19245,D,R,1703944,256,[java]
"8,16",2,42,0.073422359,0,C,R,1703944,256,[0]
"8,16",2,46,0.073492995,19245,I,R,1704200,256,[java]
"8,16",2,47,0.073496978,19245,D,R,1704200,256,[java]
"8,16",2,52,0.073556267,19245,I,R,1704456,256,[java]
"8,16",2,54,0.073558971,19245,D,R,1704456,256,[java]
"8,16",2,55,0.074479899,0,C,R,1704200,256,[0]
"8,16",2,56,0.075557741,19173,C,R,1704456,256,[0]
"8,16",2,60,0.078224202,19245,I,R,3695120,256,[java]
"8,16",2,61,0.07822979,19245,D,R,3695120,256,[java]
"8,16",2,63,0.084853314,0,C,R,3695120,256,[0]
"8,16",2,67,0.085050582,19245,I,R,3283280,256,[java]
"8,16",2,68,0.085054836,19245,D,R,3283280,256,[java]
"8,16",2,70,0.092839475,0,C,R,3283280,256,[0]
"8,16",2,74,0.09289824,19245,I,R,3283536,256,[java]
"8,16",2,75,0.092901649,19245,D,R,3283536,256,[java]
"8,16",2,80,0.092956409,19245,I,R,3283792,256,[java]
"8,16",2,82,0.092958959,19245,D,R,3283792,256,[java]
"8,16",2,83,0.093897908,0,C,R,3283536,256,[0]
"8,16",2,84,0.09492721,19173,C,R,3283792,256,[0]
"8,16",2,88,0.129621185,19245,I,R,3696168,256,[java]
"8,16",2,90,0.129628718,19245,D,R,3696168,256,[java]
"8,16",2,91,0.14885892,0,C,R,3696168,256,[0]
"8,16",2,95,0.149049671,19245,I,R,3318912,256,[java]
"8,16",2,96,0.149054028,19245,D,R,3318912,256,[java]
"8,16",2,98,0.157141784,0,C,R,3318912,256,[0]
"8,16",2,102,0.157280944,19245,I,R,3319168,256,[java]
"8,16",2,103,0.157285005,19245,D,R,3319168,256,[java]
"8,16",2,105,0.158165617,0,C,R,3319168,256,[0]
"8,16",2,109,0.19854234,19245,I,R,2278616,256,[java]
"8,16",2,111,0.198550216,19245,D,R,2278616,256,[java]
"8,16",3,4,0.242387863,19244,I,R,2417592,256,[java]
"8,16",3,6,0.242394281,19244,D,R,2417592,256,[java]
"8,16",3,7,0.252208112,0,C,R,2417592,256,[0]
"8,16",3,11,0.252414234,19244,I,R,1939288,256,[java]
"8,16",3,12,0.252418463,19244,D,R,1939288,256,[java]
"8,16",2,112,0.217644505,0,C,R,2278616,256,[0]
"8,16",2,116,0.217719963,19245,I,R,2278872,256,[java]
"8,16",2,117,0.217723947,19245,D,R,2278872,256,[java]
"8,16",2,122,0.217761887,19245,I,R,2279128,256,[java]
"8,16",2,124,0.217764449,19245,D,R,2279128,256,[java]
"8,16",2,125,0.218650945,0,C,R,2278872,256,[0]
"8,16",2,126,0.219716548,0,C,R,2279128,256,[0]
"8,16",3,14,0.261104324,0,C,R,1939288,256,[0]
"8,16",3,18,0.261306185,19244,I,R,1939544,256,[java]
"8,16",3,19,0.26131017,19244,D,R,1939544,256,[java]
"8,16",3,24,0.261369126,19244,I,R,1939800,256,[java]
"8,16",3,26,0.261371814,19244,D,R,1939800,256,[java]
"8,16",3,27,0.263310484,0,C,R,1939544,256,[0]
"8,16",3,28,0.264324176,0,C,R,1939800,256,[0]
"8,16",3,32,0.276455517,19280,I,R,2420872,256,[java]
"8,16",3,34,0.276462027,19280,D,R,2420872,256,[java]
"8,16",3,35,0.284092756,0,C,R,2420872,256,[0]
"8,16",3,39,0.284357001,19280,I,R,2053792,256,[java]
"8,16",3,40,0.284361339,19280,D,R,2053792,256,[java]
"8,16",3,42,0.292418747,0,C,R,2053792,256,[0]
"8,16",3,46,0.292518379,19280,I,R,2054048,256,[java]
"8,16",3,47,0.292522293,19280,D,R,2054048,256,[java]
"8,16",3,52,0.29258417,19280,I,R,2054304,256,[java]
"8,16",3,54,0.292586823,19280,D,R,2054304,256,[java]
"8,16",3,55,0.293443969,0,C,R,2054048,256,[0]
"8,16",3,56,0.294457498,0,C,R,2054304,256,[0]
"8,16",2,130,0.297151219,19280,I,R,2409168,256,[java]
"8,16",2,131,0.297156645,19280,D,R,2409168,256,[java]
"8,16",2,133,0.302223239,0,C,R,2409168,256,[0]
"8,16",2,137,0.302399676,19280,I,R,1641560,256,[java]
"8,16",2,138,0.302403731,19280,D,R,1641560,256,[java]
"8,16",2,140,0.312305447,0,C,R,1641560,256,[0]
"8,16",2,144,0.312368968,19280,I,R,1641816,256,[java]
"8,16",2,145,0.312372558,19280,D,R,1641816,256,[java]
"8,16",2,147,0.313305573,19245,C,R,1641816,256,[0]
"8,16",2,151,0.31560273,19280,I,R,2414848,256,[java]
"8,16",2,152,0.31560827,19280,D,R,2414848,256,[java]
"8,16",2,154,0.321538963,0,C,R,2414848,256,[0]
"8,16",2,158,0.321790934,19280,I,R,1842416,256,[java]
"8,16",2,159,0.321795293,19280,D,R,1842416,256,[java]
"8,16",2,161,0.332099786,0,C,R,1842416,256,[0]
"8,16",2,165,0.332165692,19280,I,R,1842672,256,[java]
"8,16",2,166,0.33216985,19280,D,R,1842672,256,[java]
"8,16",2,168,0.33306587,0,C,R,1842672,256,[0]
"8,16",2,172,0.337550001,19280,I,R,3692008,256,[java]
"8,16",2,173,0.337555921,19280,D,R,3692008,256,[java]
"8,16",2,175,0.344122807,0,C,R,3692008,256,[0]
"8,16",2,179,0.344280046,19280,I,R,3174096,256,[java]
"8,16",2,180,0.344284117,19280,D,R,3174096,256,[java]
"8,16",2,182,0.352567045,0,C,R,3174096,256,[0]
"8,16",2,186,0.352614802,19280,I,R,3174352,256,[java]
"8,16",2,187,0.352618049,19280,D,R,3174352,256,[java]
"8,16",2,192,0.352702127,19280,I,R,3174608,256,[java]
"8,16",2,194,0.35270485,19280,D,R,3174608,256,[java]
"8,16",2,195,0.354839072,0,C,R,3174352,256,[0]
"8,16",2,196,0.356025721,0,C,R,3174608,256,[0]
"8,16",0,4,0.358201626,19245,I,R,2405560,256,[java]
"8,16",0,5,0.358213347,19245,D,R,2405560,256,[java]
"8,16",0,7,0.367891623,0,C,R,2405560,256,[0]
"8,16",0,11,0.368030243,19245,I,R,1514120,256,[java]
"8,16",0,12,0.368034064,19245,D,R,1514120,256,[java]
"8,16",0,14,0.377319339,0,C,R,1514120,256,[0]
"8,16",0,18,0.377386697,19245,I,R,1514376,256,[java]
"8,16",0,19,0.377411894,19245,D,R,1514376,256,[java]
"8,16",0,24,0.377486096,19245,I,R,1514632,256,[java]
"8,16",0,26,0.377488749,19245,D,R,1514632,256,[java]
"8,16",0,27,0.378342047,0,C,R,1514376,256,[0]
"8,16",0,28,0.379383888,19173,C,R,1514632,256,[0]
"8,16",2,200,0.38438779,19280,I,R,590000,256,[java]
"8,16",2,201,0.384399756,19280,D,R,590000,256,[java]
"8,16",2,203,0.391532903,0,C,R,590000,256,[0]
"8,16",2,207,0.391781652,19280,I,RM,20496,8,[java]
"8,16",2,209,0.391789902,215,D,RM,20496,8,[kworker/2:1H]
"8,16",2,210,0.398853094,0,C,RM,20496,8,[0]
"8,16",2,214,0.398884583,19280,I,R,3343968,8,[java]
"8,16",2,216,0.398890667,215,D,R,3343968,8,[kworker/2:1H]
"8,16",2,217,0.411318678,0,C,R,3343968,8,[0]
"8,16",2,221,0.411341996,19280,I,R,3343984,8,[java]
"8,16",2,223,0.41135209,215,D,R,3343984,8,[kworker/2:1H]
"8,16",2,224,0.411849362,0,C,R,3343984,8,[0]
"8,16",2,228,0.411877867,19280,I,R,608384,256,[java]
"8,16",2,229,0.411880851,19280,D,R,608384,256,[java]
"8,16",0,32,0.421926409,19245,I,R,592976,256,[java]
"8,16",0,33,0.421938498,19245,D,R,592976,256,[java]
"8,16",2,231,0.416496363,0,C,R,608384,256,[0]
"8,16",2,235,0.416550653,19280,I,R,608640,256,[java]
"8,16",2,236,0.416554097,19280,D,R,608640,256,[java]
"8,16",2,241,0.416628655,19280,I,R,608896,256,[java]
"8,16",2,243,0.416631457,19280,D,R,608896,256,[java]
"8,16",2,244,0.417722268,0,C,R,608640,256,[0]
"8,16",2,245,0.41864223,0,C,R,608896,256,[0]
"8,16",0,35,0.464954209,0,C,R,592976,256,[0]
"8,16",0,39,0.465445987,19245,I,R,168656,8,[java]
"8,16",0,41,0.465453114,211,D,R,168656,8,[kworker/0:1H]
