disk,cpu_id,sequence_number,timestamp,process_id,action,operation,sector_number,request_size,process_name
"8,16",1,4,0.000007368,2513,I,RM,126144,32,[java]
"8,16",1,6,0.000020144,241,D,RM,126144,32,[kworker/1:1H]
"8,16",1,7,0.000234729,2435,C,RM,126144,32,[0]
"8,16",1,14,0.000348413,2513,I,R,878272,1040,[java]
"8,16",1,15,0.000351628,2513,D,R,878272,1040,[java]
"8,16",1,20,0.000368935,2513,I,R,879312,1056,[java]
"8,16",1,22,0.000371349,2513,D,R,879312,1056,[java]
"8,16",1,25,0.000381648,2513,I,R,880368,1056,[java]
"8,16",1,27,0.000383778,2513,D,R,880368,1056,[java]
"8,16",1,31,0.000477427,2513,I,R,881424,944,[java]
"8,16",1,33,0.000479677,2513,D,R,881424,944,[java]
"8,16",1,35,0.000509456,2513,I,R,882368,800,[java]
"8,16",1,37,0.000511843,2513,D,R,882368,800,[java]
"8,16",1,38,0.022277534,0,C,R,878272,1040,[0]
"8,16",1,39,0.027765928,0,C,R,879312,1056,[0]
"8,16",1,40,0.03241305,0,C,R,880368,1056,[0]
"8,16",1,41,0.03770856,0,C,R,881424,944,[0]
"8,16",1,42,0.0412117,0,C,R,882368,800,[0]
"8,16",1,46,0.041995085,2513,I,RM,109504,32,[java]
"8,16",1,47,0.041999923,2513,D,RM,109504,32,[java]
"8,16",1,49,0.050385122,0,C,RM,109504,32,[0]
"8,16",1,56,0.050928198,2513,I,R,1594720,1040,[java]
"8,16",1,57,0.050932264,2513,D,R,1594720,1040,[java]
"8,16",1,62,0.050952013,2513,I,R,1595760,1088,[java]
"8,16",1,64,0.05095435,2513,D,R,1595760,1088,[java]
"8,16",1,67,0.050964558,2513,I,R,1596848,1056,[java]
"8,16",1,69,0.050966676,2513,D,R,1596848,1056,[java]
"8,16",1,74,0.051296069,2513,I,R,1597904,912,[java]
"8,16",1,76,0.051298757,2513,D,R,1597904,912,[java]
"8,16",1,80,0.051331406,2513,I,R,1598816,1040,[java]
"8,16",1,82,0.051333984,2513,D,R,1598816,1040,[java]
"8,16",1,86,0.051345614,2513,I,R,1599856,1056,[java]
"8,16",1,88,0.051347744,2513,D,R,1599856,1056,[java]
"8,16",1,91,0.051357068,2513,I,R,1600912,1120,[java]
"8,16",1,93,0.051359148,2513,D,R,1600912,1120,[java]
"8,16",1,95,0.051367109,2513,I,R,1602032,880,[java]
"8,16",1,97,0.051369201,2513,D,R,1602032,880,[java]
"8,16",1,98,0.066340977,0,C,R,1594720,1040,[0]
"8,16",1,99,0.072240276,0,C,R,1595760,1088,[0]
"8,16",1,100,0.076593804,0,C,R,1596848,1056,[0]
"8,16",1,101,0.08162348,0,C,R,1597904,912,[0]
"8,16",1,102,0.086135013,0,C,R,1598816,1040,[0]
"8,16",1,103,0.091923001,0,C,R,1599856,1056,[0]
"8,16",1,104,0.09657517,0,C,R,1600912,1120,[0]
"8,16",1,105,0.101360828,2988,C,R,1602032,880,[0]
"8,16",2,4,0.162438295,2513,I,RM,119104,32,[java]
"8,16",2,6,0.162467344,215,D,RM,119104,32,[kworker/2:1H]
"8,16",2,7,0.181141728,0,C,RM,119104,32,[0]
"8,16",2,14,0.181355063,2513,I,R,1180232,1072,[java]
"8,16",2,15,0.181359077,2513,D,R,1180232,1072,[java]
"8,16",2,20,0.181397881,2513,I,R,1181304,1056,[java]
"8,16",2,22,0.181400063,2513,D,R,1181304,1056,[java]
"8,16",2,25,0.181408117,2513,I,R,1182360,1152,[java]
"8,16",2,27,0.181410032,2513,D,R,1182360,1152,[java]
"8,16",2,31,0.181438962,2513,I,R,1183512,1168,[java]
"8,16",2,33,0.181441031,2513,D,R,1183512,1168,[java]
"8,16",2,34,0.19502982,0,C,R,1180232,1072,[0]
"8,16",2,35,0.199465674,0,C,R,1181304,1056,[0]
"8,16",2,36,0.205620205,0,C,R,1182360,1152,[0]
"8,16",2,37,0.210602286,0,C,R,1183512,1168,[0]
"8,16",2,45,0.211531998,2513,I,RM,115200,96,[java]
"8,16",2,46,0.211536309,2513,D,RM,115200,96,[java]
"8,16",2,48,0.220415903,0,C,RM,115200,96,[0]
"8,16",2,55,0.220616241,2513,I,R,2137168,1088,[java]
"8,16",2,56,0.220619644,2513,D,R,2137168,1088,[java]
"8,16",2,61,0.220636107,2513,I,R,2138256,1056,[java]
"8,16",2,63,0.220672989,2513,D,R,2138256,1056,[java]
"8,16",2,66,0.220709167,2513,I,R,2139312,1088,[java]
"8,16",2,68,0.220711492,2513,D,R,2139312,1088,[java]
"8,16",2,73,0.22102675,2513,I,R,2140400,864,[java]
"8,16",2,75,0.221029098,2513,D,R,2140400,864,[java]
"8,16",2,79,0.221061879,2513,I,R,2141264,1088,[java]
"8,16",2,81,0.22106407,2513,D,R,2141264,1088,[java]
"8,16",2,85,0.221075455,2513,I,R,2142352,1056,[java]
"8,16",2,87,0.221077528,2513,D,R,2142352,1056,[java]
"8,16",2,90,0.221086507,2513,I,R,2143408,1056,[java]
"8,16",2,92,0.221088536,2513,D,R,2143408,1056,[java]
"8,16",2,94,0.221116052,2513,I,R,2144464,896,[java]
"8,16",2,96,0.221118151,2513,D,R,2144464,896,[java]
"8,16",2,97,0.237519828,0,C,R,2137168,1088,[0]
"8,16",2,98,0.242048157,0,C,R,2138256,1056,[0]
"8,16",2,99,0.247734588,0,C,R,2139312,1088,[0]
"8,16",2,100,0.251563476,0,C,R,2140400,864,[0]
"8,16",2,101,0.257275328,0,C,R,2141264,1088,[0]
"8,16",2,102,0.261732664,0,C,R,2142352,1056,[0]
"8,16",2,103,0.267333876,0,C,R,2143408,1056,[0]
"8,16",2,104,0.271201067,0,C,R,2144464,896,[0]
"8,16",2,108,0.277827624,2512,I,RM,123744,32,[java]
"8,16",2,109,0.27785909,2512,D,RM,123744,32,[java]
"8,16",2,111,0.286762647,0,C,RM,123744,32,[0]
"8,16",2,115,0.287045012,2512,I,RM,117312,32,[java]
"8,16",2,116,0.287049199,2512,D,RM,117312,32,[java]
"8,16",2,118,0.297129223,0,C,RM,117312,32,[0]
"8,16",2,125,0.297358225,2512,I,R,739608,1048,[java]
"8,16",2,126,0.297361382,2512,D,R,739608,1048,[java]
"8,16",2,131,0.297397539,2512,I,R,740656,1056,[java]
"8,16",2,133,0.297399679,2512,D,R,740656,1056,[java]
"8,16",2,136,0.297407875,2512,I,R,741712,1056,[java]
"8,16",2,138,0.2974098,2512,D,R,741712,1056,[java]
"8,16",2,143,0.297621195,2512,I,R,742768,936,[java]
"8,16",2,145,0.297623453,2512,D,R,742768,936,[java]
"8,16",2,149,0.297633564,2512,I,R,743704,1048,[java]
"8,16",2,151,0.297656493,2512,D,R,743704,1048,[java]
"8,16",2,155,0.297664912,2512,I,R,744752,1056,[java]
"8,16",2,157,0.297666869,2512,D,R,744752,1056,[java]
"8,16",2,160,0.297673866,2512,I,R,745808,1056,[java]
"8,16",2,162,0.29767574,2512,D,R,745808,1056,[java]
"8,16",2,164,0.297698155,2512,I,R,746864,408,[java]
"8,16",2,166,0.297699986,2512,D,R,746864,408,[java]
"8,16",2,167,0.309721115,0,C,R,739608,1048,[0]
"8,16",2,168,0.315394761,0,C,R,740656,1056,[0]
