disk,cpu_id,sequence_number,timestamp,process_id,action,operation,sector_number,request_size,process_name
"8,16",1,4,0.000008773,2568,I,R,7419312,256,[java]
"8,16",1,5,0.000019645,2568,D,R,7419312,256,[java]
"8,16",1,7,0.025906406,0,C,R,7419312,256,[0]
"8,16",1,11,0.026197749,2568,I,R,12858448,8,[java]
"8,16",1,13,0.026206276,230,D,R,12858448,8,[kworker/1:1H]
"8,16",1,14,0.047558562,0,C,R,12858448,8,[0]
"8,16",1,18,0.047613539,2568,I,R,6962584,256,[java]
"8,16",1,20,0.047619377,2568,D,R,6962584,256,[java]
"8,16",1,21,0.071085111,0,C,R,6962584,256,[0]
"8,16",1,25,0.07114922,2568,I,R,6962840,256,[java]
"8,16",1,26,0.071152314,2568,D,R,6962840,256,[java]
"8,16",1,31,0.071223383,2568,I,R,6963096,256,[java]
"8,16",1,33,0.071225892,2568,D,R,6963096,256,[java]
"8,16",1,34,0.072179076,0,C,R,6962840,256,[0]
"8,16",1,35,0.073321052,295,C,R,6963096,256,[0]
"8,16",0,4,0.114663631,2569,I,R,4490104,256,[java]
"8,16",0,6,0.114670345,2569,D,R,4490104,256,[java]
"8,16",0,7,0.137666941,0,C,R,4490104,256,[0]
"8,16",0,11,0.137857562,2569,I,R,12857792,8,[java]
"8,16",0,13,0.137865543,239,D,R,12857792,8,[kworker/0:1H]
"8,16",0,14,0.152700407,0,C,R,12857792,8,[0]
"8,16",0,18,0.152740644,2569,I,R,3922392,256,[java]
"8,16",0,20,0.152746376,2569,D,R,3922392,256,[java]
"8,16",2,4,0.19258499,2567,I,R,7446408,256,[java]
"8,16",2,6,0.192590232,2567,D,R,7446408,256,[java]
"8,16",0,21,0.170288993,0,C,R,3922392,256,[0]
"8,16",0,25,0.170349381,2569,I,R,3922648,256,[java]
"8,16",0,26,0.170353279,2569,D,R,3922648,256,[java]
"8,16",0,31,0.170423312,2569,I,R,3922904,256,[java]
"8,16",0,33,0.170425892,2569,D,R,3922904,256,[java]
"8,16",0,34,0.171311868,0,C,R,3922648,256,[0]
"8,16",0,35,0.17230189,2491,C,R,3922904,256,[0]
"8,16",2,7,0.207481823,0,C,R,7446408,256,[0]
"8,16",2,11,0.207633568,2567,I,R,7346288,256,[java]
"8,16",2,12,0.207637087,2567,D,R,7346288,256,[java]
"8,16",2,14,0.213359369,0,C,R,7346288,256,[0]
"8,16",2,18,0.213402454,2567,I,R,7346544,256,[java]
"8,16",2,19,0.213405324,2567,D,R,7346544,256,[java]
"8,16",2,24,0.213468278,2567,I,R,7346800,256,[java]
"8,16",2,26,0.213470498,2567,D,R,7346800,256,[java]
"8,16",2,27,0.214477676,0,C,R,7346544,256,[0]
"8,16",2,28,0.215459627,2866,C,R,7346800,256,[0]
"8,16",2,32,0.230123265,2567,I,R,3983552,256,[java]
"8,16",2,33,0.230127695,2567,D,R,3983552,256,[java]
"8,16",2,35,0.24116172,0,C,R,3983552,256,[0]
"8,16",2,39,0.24121922,2567,I,R,3983808,256,[java]
"8,16",2,40,0.241222229,2567,D,R,3983808,256,[java]
"8,16",2,45,0.24127424,2567,I,R,3984064,256,[java]
"8,16",2,47,0.241276671,2567,D,R,3984064,256,[java]
"8,16",2,48,0.242227104,0,C,R,3983808,256,[0]
"8,16",2,49,0.244557914,0,C,R,3984064,256,[0]
"8,16",0,39,0.219225533,2567,I,R,4491896,256,[java]
"8,16",0,40,0.219247204,2567,D,R,4491896,256,[java]
"8,16",0,42,0.229983606,0,C,R,4491896,256,[0]
"8,16",0,46,0.24615963,2569,I,R,7416600,256,[java]
"8,16",0,47,0.24617218,2569,D,R,7416600,256,[java]
"8,16",0,49,0.253666944,0,C,R,7416600,256,[0]
"8,16",0,53,0.253885932,2569,I,R,6866784,256,[java]
"8,16",0,54,0.253890117,2569,D,R,6866784,256,[java]
"8,16",1,39,0.269708544,2567,I,R,4480864,256,[java]
"8,16",1,40,0.269720094,2567,D,R,4480864,256,[java]
"8,16",1,42,0.27536773,0,C,R,4480864,256,[0]
"8,16",1,46,0.275559356,2567,I,R,3582088,256,[java]
"8,16",1,47,0.275563132,2567,D,R,3582088,256,[java]
"8,16",1,49,0.281234663,0,C,R,3582088,256,[0]
"8,16",1,53,0.281282102,2567,I,R,3582344,256,[java]
"8,16",1,54,0.281285437,2567,D,R,3582344,256,[java]
"8,16",1,56,0.282355676,2865,C,R,3582344,256,[0]
"8,16",1,60,0.28522936,2567,I,R,4477000,256,[java]
"8,16",1,61,0.285236307,2567,D,R,4477000,256,[java]
"8,16",0,56,0.264503488,0,C,R,6866784,256,[0]
"8,16",0,60,0.264554218,2569,I,R,6867040,256,[java]
"8,16",0,61,0.264557546,2569,D,R,6867040,256,[java]
"8,16",0,66,0.264589888,2569,I,R,6867296,256,[java]
"8,16",0,68,0.264592419,2569,D,R,6867296,256,[java]
"8,16",0,69,0.265584355,0,C,R,6867040,256,[0]
"8,16",0,70,0.266541785,0,C,R,6867296,256,[0]
"8,16",1,63,0.297788568,0,C,R,4477000,256,[0]
"8,16",1,67,0.297950288,2567,I,R,3445432,256,[java]
"8,16",1,68,0.297954069,2567,D,R,3445432,256,[java]
"8,16",1,70,0.309383578,0,C,R,3445432,256,[0]
"8,16",1,74,0.309444242,2567,I,R,3445688,256,[java]
"8,16",1,75,0.309447358,2567,D,R,3445688,256,[java]
"8,16",1,80,0.309499458,2567,I,R,3445944,256,[java]
"8,16",1,82,0.309501945,2567,D,R,3445944,256,[java]
"8,16",1,83,0.310540082,0,C,R,3445688,256,[0]
"8,16",1,84,0.311524728,2567,C,R,3445944,256,[0]
"8,16",1,88,0.340459843,2567,I,R,7415064,256,[java]
"8,16",1,89,0.340471257,2567,D,R,7415064,256,[java]
"8,16",0,74,0.313310441,2569,I,R,7445184,256,[java]
"8,16",0,75,0.313322583,2569,D,R,7445184,256,[java]
"8,16",0,77,0.326159797,0,C,R,7445184,256,[0]
"8,16",0,81,0.326297551,2569,I,R,7304672,256,[java]
"8,16",0,82,0.326301586,2569,D,R,7304672,256,[java]
"8,16",0,84,0.335688297,0,C,R,7304672,256,[0]
"8,16",0,88,0.335782468,2569,I,R,7304928,256,[java]
"8,16",0,89,0.335785753,2569,D,R,7304928,256,[java]
"8,16",0,94,0.335858835,2569,I,R,7305184,256,[java]
"8,16",0,96,0.335861596,2569,D,R,7305184,256,[java]
"8,16",0,97,0.336695744,0,C,R,7304928,256,[0]
"8,16",0,98,0.338820538,2857,C,R,7305184,256,[0]
"8,16",0,102,0.360246852,2569,I,R,7446808,256,[java]
"8,16",0,103,0.360258845,2569,D,R,7446808,256,[java]
"8,16",1,91,0.347049754,0,C,R,7415064,256,[0]
"8,16",1,95,0.347200655,2567,I,R,6812232,256,[java]
"8,16",1,96,0.347205073,2567,D,R,6812232,256,[java]
"8,16",1,98,0.356120251,0,C,R,6812232,256,[0]
"8,16",1,102,0.356185399,2567,I,R,6812488,256,[java]
"8,16",1,103,0.356189442,2567,D,R,6812488,256,[java]
"8,16",1,108,0.356261487,2567,I,R,6812744,256,[java]
"8,16",1,110,0.356264037,2567,D,R,6812744,256,[java]
"8,16",1,111,0.357124017,0,C,R,6812488,256,[0]
"8,16",1,112,0.358242706,0,C,R,6812744,256,[0]
"8,16",0,105,0.367474191,0,C,R,7446808,256,[0]
"8,16",0,109,0.367651551,2569,I,R,7360376,256,[java]
"8,16",0,110,0.367655885,2569,D,R,7360376,256,[java]
"8,16",0,112,0.373118404,0,C,R,7360376,256,[0]
"8,16",0,116,0.373179076,2569,I,R,7360632,256,[java]
"8,16",0,117,0.373182639,2569,D,R,7360632,256,[java]
"8,16",0,122,0.373254083,2569,I,R,7360888,256,[java]
"8,16",0,124,0.373256647,2569,D,R,7360888,256,[java]
"8,16",0,125,0.374248583,0,C,R,7360632,256,[0]
"8,16",0,126,0.37526765,2865,C,R,7360888,256,[0]
"8,16",0,130,0.377215833,2569,I,R,4497120,256,[java]
"8,16",0,131,0.377221905,2569,D,R,4497120,256,[java]
"8,16",0,133,0.38818649,0,C,R,4497120,256,[0]
"8,16",0,137,0.388364761,2569,I,R,4162200,256,[java]
"8,16",0,138,0.388369011,2569,D,R,4162200,256,[java]
"8,16",0,140,0.39295614,0,C,R,4162200,256,[0]
"8,16",0,144,0.393036677,2569,I,R,4162456,256,[java]
"8,16",0,145,0.393040431,2569,D,R,4162456,256,[java]
"8,16",0,150,0.39311467,2569,I,R,4162712,256,[java]
"8,16",0,152,0.39311726,2569,D,R,4162712,256,[java]
"8,16",0,153,0.395293324,0,C,R,4162456,256,[0]
"8,16",0,154,0.39632917,0,C,R,4162712,256,[0]
"8,16",0,158,0.39878971,2569,I,R,7623064,256,[java]
"8,16",0,159,0.398795445,2569,D,R,7623064,256,[java]
"8,16",0,161,0.405639223,0,C,R,7623064,256,[0]
"8,16",0,165,0.40579879,2569,I,R,7654088,256,[java]
"8,16",0,166,0.40580306,2569,D,R,7654088,256,[java]
"8,16",0,168,0.414865218,0,C,R,7654088,256,[0]
"8,16",2,53,0.429057719,2569,I,R,3728248,256,[java]
"8,16",2,54,0.429062236,2569,D,R,3728248,256,[java]
"8,16",2,56,0.436532723,0,C,R,3728248,256,[0]
"8,16",2,60,0.436591097,2569,I,R,3728504,256,[java]
"8,16",2,61,0.436594249,2569,D,R,3728504,256,[java]
"8,16",2,66,0.436645482,2569,I,R,3728760,256,[java]
"8,16",2,68,0.436648033,2569,D,R,3728760,256,[java]
"8,16",2,69,0.43760631,0,C,R,3728504,256,[0]
"8,16",2,70,0.438571679,2492,C,R,3728760,256,[0]
"8,16",0,172,0.414972442,2569,I,R,7654344,256,[java]
"8,16",0,173,0.414976136,2569,D,R,7654344,256,[java]
"8,16",0,178,0.415049608,2569,I,R,7654600,256,[java]
"8,16",0,180,0.415052267,2569,D,R,7654600,256,[java]
"8,16",0,181,0.41592342,0,C,R,7654344,256,[0]
"8,16",0,182,0.416939513,0,C,R,7654600,256,[0]
"8,16",0,186,0.419283715,2569,I,R,4485000,256,[java]
"8,16",0,187,0.419310507,2569,D,R,4485000,256,[java]
"8,16",0,189,0.428771962,0,C,R,4485000,256,[0]
"8,16",0,193,0.444639149,2567,I,R,4474432,256,[java]
"8,16",0,194,0.444694471,2567,D,R,4474432,256,[java]
"8,16",0,196,0.452170123,0,C,R,4474432,256,[0]
"8,16",0,200,0.452318543,2567,I,R,3354336,256,[java]
"8,16",0,201,0.452322351,2567,D,R,3354336,256,[java]
"8,16",0,203,0.45843705,0,C,R,3354336,256,[0]
"8,16",0,207,0.458483547,2567,I,R,3354592,256,[java]
"8,16",0,208,0.458486879,2567,D,R,3354592,256,[java]
"8,16",0,213,0.458518753,2567,I,R,3354848,256,[java]
"8,16",0,215,0.45852122,2567,D,R,3354848,256,[java]
"8,16",0,216,0.459584326,0,C,R,3354592,256,[0]
"8,16",0,217,0.461720865,2857,C,R,3354848,256,[0]
"8,16",0,221,0.463230068,2569,I,R,4484272,256,[java]
"8,16",0,222,0.463242772,2569,D,R,4484272,256,[java]
"8,16",0,224,0.4756397,0,C,R,4484272,256,[0]
"8,16",0,228,0.475785507,2569,I,R,3702744,256,[java]
"8,16",0,229,0.475804424,2569,D,R,3702744,256,[java]
"8,16",0,231,0.485244662,0,C,R,3702744,256,[0]
"8,16",0,235,0.48530598,2569,I,R,3703000,256,[java]
"8,16",0,236,0.4853089,2569,D,R,3703000,256,[java]
"8,16",0,241,0.485377409,2569,I,R,3703256,256,[java]
"8,16",0,243,0.485379919,2569,D,R,3703256,256,[java]
"8,16",0,244,0.486408923,0,C,R,3703000,256,[0]
"8,16",0,245,0.487413589,0,C,R,3703256,256,[0]
"8,16",0,249,0.489787459,2569,I,R,7625624,256,[java]
"8,16",0,250,0.48979326,2569,D,R,7625624,256,[java]
"8,16",0,252,0.501161386,0,C,R,7625624,256,[0]
"8,16",0,256,0.501325476,2569,I,R,7744648,256,[java]
"8,16",0,257,0.501329635,2569,D,R,7744648,256,[java]
"8,16",0,259,0.514037451,0,C,R,7744648,256,[0]
"8,16",0,263,0.514096903,2569,I,R,7744904,256,[java]
"8,16",0,264,0.51410034,2569,D,R,7744904,256,[java]
"8,16",0,266,0.515056526,2567,C,R,7744904,256,[0]
"8,16",2,74,0.517753083,2569,I,R,4491512,256,[java]
"8,16",2,75,0.517758566,2569,D,R,4491512,256,[java]
"8,16",2,77,0.527073608,0,C,R,4491512,256,[0]
"8,16",2,81,0.52730534,2569,I,R,3970360,256,[java]
"8,16",2,82,0.527309133,2569,D,R,3970360,256,[java]
"8,16",2,84,0.536431178,0,C,R,3970360,256,[0]
"8,16",2,88,0.536533117,2569,I,R,3970616,256,[java]
"8,16",2,89,0.536536422,2569,D,R,3970616,256,[java]
"8,16",2,91,0.537462288,2567,C,R,3970616,256,[0]
"8,16",1,116,0.573861045,2567,I,R,7405744,256,[java]
"8,16",1,118,0.573885147,2567,D,R,7405744,256,[java]
"8,16",1,119,0.593290105,0,C,R,7405744,256,[0]
"8,16",1,123,0.593429291,2567,I,R,6466200,256,[java]
"8,16",1,124,0.593433044,2567,D,R,6466200,256,[java]
"8,16",1,126,0.600865479,0,C,R,6466200,256,[0]
"8,16",1,130,0.60090778,2567,I,R,6466456,256,[java]
"8,16",1,131,0.600910958,2567,D,R,6466456,256,[java]
"8,16",1,136,0.600979846,2567,I,R,6466712,256,[java]
"8,16",1,138,0.600982451,2567,D,R,6466712,256,[java]
"8,16",1,139,0.601952494,0,C,R,6466456,256,[0]
"8,16",1,140,0.60296325,2568,C,R,6466712,256,[0]
"8,16",1,144,0.60509584,2567,I,R,4487472,256,[java]
