disk,cpu_id,sequence_number,timestamp,process_id,action,operation,sector_number,request_size,process_name
"8,16",1,4,0.000005894,2693,I,WS,2166448,8,[java]
"8,16",1,6,0.000013103,2693,D,WS,2166448,8,[java]
"8,16",1,7,0.000299268,0,C,WS,2166448,8,[0]
"8,16",1,13,0.000473077,2693,I,WSM,141472,64,[java]
"8,16",1,14,0.000478964,2693,D,WSM,141472,64,[java]
"8,16",1,16,0.000824211,0,C,WSM,141472,64,[0]
"8,16",1,19,0.000853399,2693,I,WSM,128,8,[java]
"8,16",1,20,0.000856203,2693,D,WSM,128,8,[java]
"8,16",1,21,0.00113192,0,C,WSM,128,8,[0]
"8,16",2,6,6.096496072,2752,I,RM,111776,64,[java]
"8,16",2,8,6.096509696,213,D,RM,111776,64,[kworker/2:1H]
"8,16",2,9,6.116646255,0,C,RM,111776,64,[0]
"8,16",0,7,6.116764663,2752,I,R,1061960,1016,[java]
"8,16",0,9,6.116769335,2752,D,R,1061960,1016,[java]
"8,16",0,13,6.116788993,2752,I,R,1062976,1088,[java]
"8,16",0,15,6.116791761,2752,D,R,1062976,1088,[java]
"8,16",0,18,6.116801127,2752,I,R,1064064,1120,[java]
"8,16",0,20,6.116803638,2752,D,R,1064064,1120,[java]
"8,16",0,25,6.117062163,2752,I,R,1065184,872,[java]
"8,16",0,27,6.117065078,2752,D,R,1065184,872,[java]
"8,16",0,31,6.11709644,2752,I,R,1066056,1112,[java]
"8,16",0,33,6.117099106,2752,D,R,1066056,1112,[java]
"8,16",0,37,6.117110851,2752,I,R,1067168,1056,[java]
"8,16",0,39,6.117113153,2752,D,R,1067168,1056,[java]
"8,16",0,42,6.117136104,2752,I,R,1068224,1120,[java]
"8,16",0,44,6.117138184,2752,D,R,1068224,1120,[java]
"8,16",0,46,6.117146583,2752,I,R,1069344,808,[java]
"8,16",0,48,6.117148634,2752,D,R,1069344,808,[java]
"8,16",0,49,6.13359158,0,C,R,1061960,1016,[0]
"8,16",0,50,6.139397669,0,C,R,1062976,1088,[0]
"8,16",0,51,6.144180871,0,C,R,1064064,1120,[0]
"8,16",0,52,6.149080152,0,C,R,1065184,872,[0]
"8,16",0,53,6.153745627,0,C,R,1066056,1112,[0]
"8,16",0,54,6.159529124,0,C,R,1067168,1056,[0]
"8,16",0,55,6.165471618,0,C,R,1068224,1120,[0]
"8,16",0,56,6.16882495,0,C,R,1069344,808,[0]
"8,16",0,70,6.169832321,2752,I,RM,107488,32,[java]
"8,16",0,71,6.169836447,2752,D,RM,107488,32,[java]
"8,16",0,72,6.169850613,2752,I,RM,107520,160,[java]
"8,16",0,74,6.169858392,230,D,RM,107520,160,[kworker/0:1H]
"8,16",0,75,6.1789879,0,C,RM,107488,32,[0]
"8,16",0,76,6.179769327,0,C,RM,107520,160,[0]
"8,16",0,83,6.179902673,2752,I,R,9435896,1064,[java]
"8,16",0,84,6.179907338,2752,D,R,9435896,1064,[java]
"8,16",0,89,6.179931703,2752,I,R,9436960,1120,[java]
"8,16",0,91,6.179934054,2752,D,R,9436960,1120,[java]
"8,16",0,94,6.179943795,2752,I,R,9438080,1056,[java]
"8,16",0,96,6.179945898,2752,D,R,9438080,1056,[java]
"8,16",0,101,6.180250554,2752,I,R,9439136,856,[java]
"8,16",0,103,6.180253817,2752,D,R,9439136,856,[java]
"8,16",0,107,6.180271652,2752,I,R,9439992,1032,[java]
"8,16",0,109,6.180273891,2752,D,R,9439992,1032,[java]
"8,16",0,113,6.180284095,2752,I,R,9441024,1056,[java]
"8,16",0,115,6.180286161,2752,D,R,9441024,1056,[java]
"8,16",0,118,6.180295251,2752,I,R,9442080,1056,[java]
"8,16",0,120,6.180297355,2752,D,R,9442080,1056,[java]
"8,16",0,122,6.180306885,2752,I,R,9443136,952,[java]
"8,16",0,124,6.180308964,2752,D,R,9443136,952,[java]
"8,16",0,125,6.203605617,0,C,R,9435896,1064,[0]
"8,16",0,126,6.206947206,0,C,R,9436960,1120,[0]
"8,16",0,127,6.211445582,0,C,R,9438080,1056,[0]
"8,16",0,128,6.213901821,0,C,R,9439136,856,[0]
"8,16",0,129,6.217033735,0,C,R,9439992,1032,[0]
"8,16",0,130,6.221319183,0,C,R,9441024,1056,[0]
"8,16",0,131,6.224569022,0,C,R,9442080,1056,[0]
"8,16",0,132,6.227645972,0,C,R,9443136,952,[0]
