disk,cpu_id,sequence_number,timestamp,process_id,action,operation,sector_number,request_size,process_name
"8,16",0,4,0.000008328,2326,I,R,4475568,256,[java]
"8,16",0,6,0.000015173,2326,D,R,4475568,256,[java]
"8,16",0,7,0.019802388,0,C,R,4475568,256,[0]
"8,16",0,11,0.020144057,2326,I,R,4345840,256,[java]
"8,16",0,13,0.020148938,2326,D,R,4345840,256,[java]
"8,16",0,14,0.030556398,0,C,R,4345840,256,[0]
"8,16",0,18,0.030619667,2326,I,R,4346096,256,[java]
"8,16",0,20,0.030623112,2326,D,R,4346096,256,[java]
"8,16",0,24,0.03067607,2326,I,R,4346352,256,[java]
"8,16",0,26,0.030678602,2326,D,R,4346352,256,[java]
"8,16",0,27,0.073435061,0,C,R,4346096,256,[0]
"8,16",0,28,0.07430451,2325,C,R,4346352,256,[0]
"8,16",3,3,0.141240981,2326,I,R,3509232,8,[java]
"8,16",3,4,0.141248996,2326,D,R,3509232,8,[java]
"8,16",3,5,0.141503925,0,C,R,3509232,8,[0]
"8,16",3,8,0.14154834,2326,I,R,170936,8,[java]
"8,16",3,9,0.141551303,2326,D,R,170936,8,[java]
"8,16",3,10,0.158935654,0,C,R,170936,8,[0]
"8,16",3,13,0.159071606,2326,I,R,3509248,8,[java]
"8,16",3,14,0.159074916,2326,D,R,3509248,8,[java]
"8,16",3,15,0.159299603,0,C,R,3509248,8,[0]
"8,16",3,19,0.175848018,2326,I,R,2804744,256,[java]
"8,16",3,21,0.175855897,2326,D,R,2804744,256,[java]
"8,16",3,22,0.182821941,0,C,R,2804744,256,[0]
"8,16",3,26,0.182989291,2326,I,R,2249992,256,[java]
"8,16",3,27,0.182993314,2326,D,R,2249992,256,[java]
"8,16",3,29,0.187036571,0,C,R,2249992,256,[0]
"8,16",3,33,0.18713155,2326,I,R,2250248,256,[java]
"8,16",3,34,0.187135227,2326,D,R,2250248,256,[java]
"8,16",3,39,0.187224567,2326,I,R,2250504,256,[java]
"8,16",3,41,0.187227294,2326,D,R,2250504,256,[java]
"8,16",3,42,0.18808288,0,C,R,2250248,256,[0]
"8,16",3,43,0.189207629,2326,C,R,2250504,256,[0]
"8,16",3,47,0.209395691,2327,I,R,2793992,256,[java]
"8,16",3,49,0.209402377,2327,D,R,2793992,256,[java]
"8,16",3,50,0.220929623,2252,C,R,2793992,256,[0]
"8,16",3,54,0.221216737,2327,I,R,1869752,256,[java]
"8,16",3,55,0.221221426,2327,D,R,1869752,256,[java]
"8,16",2,4,0.247635255,2327,I,R,4187624,256,[java]
"8,16",2,5,0.247640135,2327,D,R,4187624,256,[java]
"8,16",2,7,0.254189114,0,C,R,4187624,256,[0]
"8,16",2,11,0.254254742,2327,I,R,4187880,256,[java]
"8,16",2,12,0.254259147,2327,D,R,4187880,256,[java]
"8,16",2,14,0.25634475,0,C,R,4187880,256,[0]
"8,16",2,18,0.263892138,2325,I,R,4453088,256,[java]
"8,16",2,19,0.263911696,2325,D,R,4453088,256,[java]
"8,16",3,57,0.233724026,2252,C,R,1869752,256,[0]
"8,16",3,61,0.23381039,2327,I,R,1870008,256,[java]
"8,16",3,62,0.233814678,2327,D,R,1870008,256,[java]
"8,16",3,67,0.233874404,2327,I,R,1870264,256,[java]
"8,16",3,69,0.233877004,2327,D,R,1870264,256,[java]
"8,16",3,70,0.235990988,2252,C,R,1870008,256,[0]
"8,16",3,71,0.237109424,2252,C,R,1870264,256,[0]
"8,16",3,75,0.242289161,2327,I,R,4470944,256,[java]
"8,16",3,76,0.242295466,2327,D,R,4470944,256,[java]
"8,16",3,78,0.247464084,2252,C,R,4470944,256,[0]
"8,16",2,21,0.275129001,0,C,R,4453088,256,[0]
"8,16",2,25,0.275446174,2325,I,RM,20536,8,[java]
"8,16",2,27,0.275456436,234,D,RM,20536,8,[kworker/2:1H]
"8,16",2,28,0.275573955,0,C,RM,20536,8,[0]
"8,16",2,32,0.275590399,2325,I,R,3589992,8,[java]
"8,16",2,34,0.275610985,234,D,R,3589992,8,[kworker/2:1H]
"8,16",2,35,0.281699561,0,C,R,3589992,8,[0]
"8,16",2,39,0.281737031,2325,I,R,170640,8,[java]
"8,16",2,41,0.281743092,234,D,R,170640,8,[kworker/2:1H]
"8,16",2,42,0.282120228,0,C,R,170640,8,[0]
"8,16",2,46,0.282181953,2325,I,R,3588712,8,[java]
"8,16",2,48,0.282187499,234,D,R,3588712,8,[kworker/2:1H]
"8,16",2,49,0.284530343,0,C,R,3588712,8,[0]
"8,16",2,53,0.28460431,2325,I,R,2909824,256,[java]
"8,16",2,54,0.28460741,2325,D,R,2909824,256,[java]
"8,16",2,56,0.296056024,0,C,R,2909824,256,[0]
"8,16",2,60,0.296122185,2325,I,R,2910080,256,[java]
"8,16",2,61,0.296125988,2325,D,R,2910080,256,[java]
"8,16",2,63,0.297181542,0,C,R,2910080,256,[0]
"8,16",2,67,0.300348328,2325,I,R,4476272,256,[java]
"8,16",2,68,0.300354108,2325,D,R,4476272,256,[java]
"8,16",2,70,0.307284894,0,C,R,4476272,256,[0]
"8,16",2,74,0.307471153,2325,I,R,4370328,256,[java]
"8,16",2,75,0.307475219,2325,D,R,4370328,256,[java]
"8,16",2,77,0.316585579,0,C,R,4370328,256,[0]
"8,16",2,81,0.316667348,2325,I,R,4370584,256,[java]
"8,16",2,82,0.316671735,2325,D,R,4370584,256,[java]
"8,16",2,87,0.316720476,2325,I,R,4370840,256,[java]
"8,16",2,89,0.316724791,2325,D,R,4370840,256,[java]
"8,16",2,90,0.317654635,0,C,R,4370584,256,[0]
"8,16",2,91,0.318698573,24,C,R,4370840,256,[0]
"8,16",2,95,0.328770715,2325,I,R,3572024,256,[java]
"8,16",2,97,0.328778414,2325,D,R,3572024,256,[java]
"8,16",2,98,0.336275778,0,C,R,3572024,256,[0]
"8,16",2,102,0.336436242,2325,I,RM,24640,8,[java]
"8,16",2,104,0.336444748,234,D,RM,24640,8,[kworker/2:1H]
"8,16",2,105,0.345648801,0,C,RM,24640,8,[0]
"8,16",2,109,0.345672442,2325,I,R,3506744,8,[java]
"8,16",2,111,0.34568333,234,D,R,3506744,8,[kworker/2:1H]
"8,16",2,112,0.35462864,0,C,R,3506744,8,[0]
"8,16",2,116,0.354677747,2325,I,R,4489704,256,[java]
"8,16",2,117,0.354681861,2325,D,R,4489704,256,[java]
"8,16",2,119,0.364059525,0,C,R,4489704,256,[0]
"8,16",2,123,0.364143511,2325,I,R,4489960,256,[java]
"8,16",2,124,0.364147136,2325,D,R,4489960,256,[java]
"8,16",2,129,0.364202653,2325,I,R,4490216,256,[java]
"8,16",2,131,0.364205257,2325,D,R,4490216,256,[java]
"8,16",2,132,0.366334674,0,C,R,4489960,256,[0]
"8,16",2,133,0.367474572,2694,C,R,4490216,256,[0]
"8,16",2,137,0.405330006,2325,I,R,2812224,256,[java]
"8,16",2,139,0.405337926,2325,D,R,2812224,256,[java]
"8,16",2,140,0.428067366,0,C,R,2812224,256,[0]
"8,16",2,144,0.428223291,2325,I,R,3507696,8,[java]
"8,16",2,146,0.428230705,234,D,R,3507696,8,[kworker/2:1H]
"8,16",2,147,0.428338735,0,C,R,3507696,8,[0]
"8,16",2,151,0.428355819,2325,I,R,170232,8,[java]
"8,16",2,153,0.428360173,234,D,R,170232,8,[kworker/2:1H]
"8,16",2,154,0.439157622,0,C,R,170232,8,[0]
"8,16",2,158,0.439192364,2325,I,R,3508488,8,[java]
"8,16",2,160,0.439204893,234,D,R,3508488,8,[kworker/2:1H]
"8,16",2,161,0.439344547,0,C,R,3508488,8,[0]
"8,16",2,165,0.439388392,2325,I,R,2571560,256,[java]
"8,16",2,166,0.439391192,2325,D,R,2571560,256,[java]
"8,16",2,168,0.44924972,0,C,R,2571560,256,[0]
"8,16",2,172,0.44931603,2325,I,R,2571816,256,[java]
"8,16",2,173,0.449319898,2325,D,R,2571816,256,[java]
"8,16",2,178,0.449374086,2325,I,R,2572072,256,[java]
"8,16",2,180,0.449393145,2325,D,R,2572072,256,[java]
"8,16",2,181,0.450193079,0,C,R,2571816,256,[0]
"8,16",2,182,0.451222226,2694,C,R,2572072,256,[0]
"8,16",2,186,0.467252826,2327,I,R,4465976,256,[java]
"8,16",2,188,0.467260519,2327,D,R,4465976,256,[java]
"8,16",2,189,0.480726265,0,C,R,4465976,256,[0]
"8,16",2,193,0.480886929,2327,I,R,4016840,256,[java]
"8,16",2,194,0.480890947,2327,D,R,4016840,256,[java]
"8,16",2,196,0.490459692,0,C,R,4016840,256,[0]
"8,16",2,200,0.490525604,2327,I,R,4017096,256,[java]
"8,16",2,201,0.490529428,2327,D,R,4017096,256,[java]
"8,16",2,203,0.491628135,0,C,R,4017096,256,[0]
"8,16",0,32,0.500959139,2326,I,R,2795992,256,[java]
"8,16",0,34,0.500965438,2326,D,R,2795992,256,[java]
"8,16",0,35,0.514100036,0,C,R,2795992,256,[0]
"8,16",0,39,0.514255521,2326,I,R,1940552,256,[java]
"8,16",0,40,0.514259094,2326,D,R,1940552,256,[java]
"8,16",0,42,0.518210976,0,C,R,1940552,256,[0]
"8,16",0,46,0.51827353,2326,I,R,1940808,256,[java]
"8,16",0,47,0.518276678,2326,D,R,1940808,256,[java]
"8,16",0,52,0.518309396,2326,I,R,1941064,256,[java]
"8,16",0,54,0.518311954,2326,D,R,1941064,256,[java]
"8,16",0,55,0.519240199,0,C,R,1940808,256,[0]
"8,16",0,56,0.520313797,0,C,R,1941064,256,[0]
"8,16",2,207,0.561161742,2327,I,R,3590432,8,[java]
"8,16",2,209,0.561192416,234,D,R,3590432,8,[kworker/2:1H]
"8,16",2,210,0.568222004,0,C,R,3590432,8,[0]
"8,16",2,214,0.568243771,2327,I,R,170712,8,[java]
"8,16",2,216,0.568248855,234,D,R,170712,8,[kworker/2:1H]
"8,16",2,217,0.568707989,0,C,R,170712,8,[0]
"8,16",2,221,0.56872588,2327,I,R,3590536,8,[java]
"8,16",2,223,0.568730776,234,D,R,3590536,8,[kworker/2:1H]
"8,16",2,224,0.569224565,0,C,R,3590536,8,[0]
"8,16",2,228,0.569252709,2327,I,R,1070888,256,[java]
"8,16",2,229,0.569255682,2327,D,R,1070888,256,[java]
"8,16",1,4,0.529067425,2326,I,R,2805648,256,[java]
"8,16",1,6,0.529074632,2326,D,R,2805648,256,[java]
"8,16",1,7,0.536748107,0,C,R,2805648,256,[0]
"8,16",1,11,0.536887888,2326,I,R,2280824,256,[java]
"8,16",1,12,0.536891687,2326,D,R,2280824,256,[java]
"8,16",1,14,0.545394973,0,C,R,2280824,256,[0]
"8,16",1,18,0.545464069,2326,I,R,2281080,256,[java]
"8,16",1,19,0.545467429,2326,D,R,2281080,256,[java]
"8,16",1,24,0.545541629,2326,I,R,2281336,256,[java]
"8,16",1,26,0.545544274,2326,D,R,2281336,256,[java]
"8,16",1,27,0.546457579,0,C,R,2281080,256,[0]
"8,16",1,28,0.547500809,2253,C,R,2281336,256,[0]
"8,16",1,32,0.549475589,2327,I,R,894176,256,[java]
"8,16",1,33,0.549487362,2327,D,R,894176,256,[java]
"8,16",1,35,0.56095324,0,C,R,894176,256,[0]
"8,16",2,231,0.58316505,0,C,R,1070888,256,[0]
