,Time,Distance,Probability
0,0,0,0.0006821282401091405
1,250,0,0.3117326057298772
2,500,0,0.334924965893588
3,750,0,0.35129604365620737
4,1000,0,0.36766712141882674
5,1250,0,0.37448840381991816
6,1500,0,0.3792633015006821
7,1750,0,0.3806275579809004
8,2000,0,0.3840381991814461
9,2250,0,0.3894952251023192
10,2500,0,0.3942701227830832
11,2750,0,0.3956343792633015
12,3000,0,0.3969986357435198
13,3250,0,0.39836289222373805
14,3500,0,0.4038199181446112
15,3750,0,0.4072305593451569
16,4000,0,0.4120054570259209
17,4250,0,0.41336971350613916
18,4500,0,0.4140518417462483
19,4750,0,0.41609822646657574
20,5000,0,0.41609822646657574
