,Time,Distance,Probability
0,0,0,0.004418262150220913
1,0,16,0.035346097201767304
2,0,32,0.035346097201767304
3,0,48,0.036818851251840944
4,0,64,0.036818851251840944
5,0,80,0.036818851251840944
6,0,96,0.036818851251840944
7,0,112,0.036818851251840944
8,0,128,0.036818851251840944
9,0,144,0.036818851251840944
10,0,160,0.036818851251840944
11,0,176,0.036818851251840944
12,0,192,0.036818851251840944
13,0,208,0.036818851251840944
14,0,224,0.03829160530191458
15,0,240,0.03829160530191458
16,0,256,0.039764359351988215
17,0,272,0.039764359351988215
18,25,0,0.014727540500736377
19,25,16,0.3696612665684831
20,25,32,0.40942562592047127
21,25,48,0.43888070692194403
22,25,64,0.4477172312223859
23,25,80,0.46244477172312226
24,25,96,0.4698085419734904
25,25,112,0.47128129602356406
26,25,128,0.47569955817378495
27,25,144,0.47569955817378495
28,25,160,0.48159057437407954
29,25,176,0.48306332842415317
30,25,192,0.4889543446244477
31,25,208,0.49337260677466865
32,25,224,0.4948453608247423
33,25,240,0.4992636229749632
34,25,256,0.4992636229749632
35,25,272,0.5066273932253313
36,50,0,0.027982326951399118
37,50,16,0.48306332842415317
38,50,32,0.5434462444771723
39,50,48,0.5743740795287187
40,50,64,0.5891016200294551
41,50,80,0.6082474226804123
42,50,96,0.6170839469808542
43,50,112,0.6185567010309279
44,50,128,0.6229749631811488
45,50,144,0.6229749631811488
46,50,160,0.6273932253313697
47,50,176,0.6273932253313697
48,50,192,0.6332842415316642
49,50,208,0.6362297496318114
50,50,224,0.6362297496318114
51,50,240,0.6391752577319587
52,50,256,0.6391752577319587
53,50,272,0.6435935198821797
54,75,0,0.20765832106038293
55,75,16,0.5758468335787923
56,75,32,0.6377025036818851
57,75,48,0.6715758468335787
58,75,64,0.6863033873343152
59,75,80,0.7054491899852725
60,75,96,0.7157584683357879
61,75,112,0.7172312223858616
62,75,128,0.7245949926362297
63,75,144,0.7245949926362297
64,75,160,0.7290132547864506
65,75,176,0.7304860088365243
66,75,192,0.7319587628865979
67,75,208,0.7349042709867453
68,75,224,0.7349042709867453
69,75,240,0.7378497790868925
70,75,256,0.7393225331369662
71,75,272,0.7422680412371134
72,100,0,0.28865979381443296
73,100,16,0.6215022091310751
74,100,32,0.6907216494845361
75,100,48,0.7260677466863034
76,100,64,0.7422680412371134
77,100,80,0.7614138438880707
78,100,96,0.7717231222385862
79,100,112,0.7761413843888071
80,100,128,0.7820324005891016
81,100,144,0.7820324005891016
82,100,160,0.7864506627393225
83,100,176,0.7893961708394698
84,100,192,0.7893961708394698
85,100,208,0.7952871870397643
86,100,224,0.7952871870397643
87,100,240,0.7982326951399117
88,100,256,0.7997054491899853
89,100,272,0.8026509572901326
90,125,0,0.29896907216494845
91,125,16,0.6347569955817378
92,125,32,0.7054491899852725
93,125,48,0.7452135493372607
94,125,64,0.7614138438880707
95,125,80,0.7835051546391752
96,125,96,0.7938144329896907
97,125,112,0.7967599410898379
98,125,128,0.8026509572901326
99,125,144,0.8041237113402062
100,125,160,0.8085419734904271
101,125,176,0.8100147275405007
102,125,192,0.8100147275405007
103,125,208,0.8159057437407953
104,125,224,0.8159057437407953
105,125,240,0.8188512518409425
106,125,256,0.8203240058910162
107,125,272,0.8232695139911634
108,150,0,0.3078055964653903
109,150,16,0.6421207658321061
110,150,32,0.7128129602356407
111,150,48,0.7525773195876289
112,150,64,0.7717231222385862
113,150,80,0.792341678939617
114,150,96,0.8055964653902798
115,150,112,0.8085419734904271
116,150,128,0.8159057437407953
