,Time,Distance,Probability
0,0,0,0.0036452004860267314
1,0,16,0.024301336573511544
2,0,32,0.05224787363304982
3,0,48,0.08262454434993925
4,0,64,0.1324422843256379
5,0,80,0.1433778857837181
6,0,96,0.14945321992709598
7,0,112,0.1591737545565006
8,0,128,0.17132442284325639
9,0,144,0.18347509113001215
10,0,160,0.18833535844471447
11,0,176,0.1919805589307412
12,0,192,0.19562575941676794
13,0,208,0.20048602673147023
14,0,224,0.20413122721749696
15,0,240,0.212636695018226
16,0,256,0.2174969623329283
17,0,272,0.22478736330498178
18,25,0,0.18469015795868773
19,25,16,0.22478736330498178
20,25,32,0.2709599027946537
21,25,48,0.30619684082624543
22,25,64,0.34264884568651277
23,25,80,0.362089914945322
24,25,96,0.370595382746051
25,25,112,0.38153098420413123
26,25,128,0.39489671931956255
27,25,144,0.4094775212636695
28,25,160,0.41433778857837184
29,25,176,0.41919805589307413
30,25,192,0.43377885783718106
31,25,208,0.44471445929526127
32,25,224,0.4532199270959903
33,25,240,0.46537059538274606
34,25,256,0.47144592952612396
35,25,272,0.48116646415552855
36,50,0,0.2235722964763062
37,50,16,0.27946537059538273
38,50,32,0.34264884568651277
39,50,48,0.402187120291616
40,50,64,0.44471445929526127
41,50,80,0.4726609963547995
42,50,96,0.4823815309842041
43,50,112,0.4933171324422843
44,50,128,0.511543134872418
45,50,144,0.5261239368165249
46,50,160,0.5321992709599028
47,50,176,0.5394896719319563
48,50,192,0.5577156743620899
49,50,208,0.56865127582017
50,50,224,0.5808019441069259
51,50,240,0.5978128797083839
52,50,256,0.6038882138517618
53,50,272,0.6123936816524909
54,75,0,0.24665856622114216
55,75,16,0.32077764277035237
56,75,32,0.39003645200486026
57,75,48,0.45443499392466585
58,75,64,0.4993924665856622
59,75,80,0.528554070473876
60,75,96,0.5382746051032807
61,75,112,0.5492102065613609
62,75,128,0.56865127582017
63,75,144,0.583232077764277
64,75,160,0.5893074119076549
65,75,176,0.5965978128797084
66,75,192,0.6123936816524909
67,75,208,0.6245443499392467
68,75,224,0.6366950182260024
69,75,240,0.6524908869987849
70,75,256,0.6597812879708383
71,75,272,0.6719319562575942
72,100,0,0.2551640340218712
73,100,16,0.3487241798298906
74,100,32,0.41433778857837184
75,100,48,0.4823815309842041
76,100,64,0.5236938031591738
77,100,80,0.5540704738760632
78,100,96,0.5637910085054678
79,100,112,0.574726609963548
80,100,128,0.5941676792223572
81,100,144,0.6087484811664642
82,100,160,0.6148238153098421
83,100,176,0.6221142162818954
84,100,192,0.637910085054678
85,100,208,0.6500607533414338
86,100,224,0.6646415552855407
87,100,240,0.6792223572296476
88,100,256,0.6865127582017011
89,100,272,0.6998784933171325
90,125,0,0.27217496962332927
91,125,16,0.3669501822600243
92,125,32,0.4374240583232078
93,125,48,0.5018226002430134
94,125,64,0.5407047387606319
95,125,80,0.5710814094775213
96,125,96,0.5820170109356014
97,125,112,0.5929526123936817
98,125,128,0.6123936816524909
99,125,144,0.6281895504252734
100,125,160,0.6342648845686513
101,125,176,0.6415552855407047
102,125,192,0.6573511543134872
103,125,208,0.6707168894289186
104,125,224,0.6816524908869988
105,125,240,0.6950182260024301
106,125,256,0.7035236938031592
107,125,272,0.7181044957472661
108,150,0,0.28554070473876064
109,150,16,0.37667071688942894
110,150,32,0.44957472660996356
111,150,48,0.5151883353584447
112,150,64,0.5540704738760632
113,150,80,0.583232077764277
114,150,96,0.5929526123936817
115,150,112,0.6026731470230863
116,150,128,0.6233292831105711
117,150,144,0.6391251518833536
118,150,160,0.6452004860267315
119,150,176,0.6524908869987849
120,150,192,0.669501822600243
121,150,208,0.6828675577156743
