,Time,Distance,Probability
0,0,0,0.0
1,0,16,0.023833167825223437
2,0,32,0.03128103277060576
3,0,48,0.04220456802383317
4,0,64,0.052135054617676264
5,0,80,0.0660377358490566
6,0,96,0.07894736842105263
7,0,112,0.08639523336643495
8,0,128,0.09285004965243297
9,0,144,0.0958291956305859
10,0,160,0.09632571996027806
11,0,176,0.0968222442899702
12,0,192,0.09731876861966236
13,0,208,0.09831181727904667
14,0,224,0.09980139026812314
15,0,240,0.09980139026812314
16,0,256,0.10178748758689175
17,0,272,0.10327706057596822
18,25,0,0.020854021847070508
19,25,16,0.6405163853028798
20,25,32,0.6583912611717975
21,25,48,0.676266137040715
22,25,64,0.6931479642502483
23,25,80,0.7135054617676266
24,25,96,0.7298907646474677
25,25,112,0.7413108242303873
26,25,128,0.7497517378351539
27,25,144,0.7562065541211519
28,25,160,0.7621648460774578
29,25,176,0.76266137040715
30,25,192,0.7641509433962265
31,25,208,0.7671300893743793
32,25,224,0.7701092353525323
33,25,240,0.7706057596822244
34,25,256,0.7740814299900695
35,25,272,0.7775571002979146
36,50,0,0.035253227408143
37,50,16,0.6787487586891757
38,50,32,0.6996027805362462
39,50,48,0.717974180734856
40,50,64,0.7353525322740815
41,50,80,0.7557100297914597
42,50,96,0.7725918570009931
43,50,112,0.7845084409136047
44,50,128,0.7934458788480635
45,50,144,0.8008937437934459
46,50,160,0.807845084409136
47,50,176,0.8088381330685204
48,50,192,0.8113207547169812
49,50,208,0.814299900695134
50,50,224,0.817279046673287
51,50,240,0.8177755710029792
52,50,256,0.8212512413108243
53,50,272,0.8252234359483615
54,75,0,0.039721946375372394
55,75,16,0.6886792452830188
56,75,32,0.7110228401191658
57,75,48,0.730883813306852
58,75,64,0.7497517378351539
59,75,80,0.7730883813306852
60,75,96,0.7909632571996028
61,75,112,0.8023833167825224
62,75,128,0.8113207547169812
63,75,144,0.82025819265144
64,75,160,0.8291956305858987
65,75,176,0.8301886792452831
66,75,192,0.8331678252234359
67,75,208,0.836643495531281
68,75,224,0.839622641509434
69,75,240,0.8401191658391262
70,75,256,0.8445878848063555
71,75,272,0.8490566037735849
72,100,0,0.0407149950347567
73,100,16,0.692154915590864
74,100,32,0.714498510427011
75,100,48,0.7343594836146972
76,100,64,0.753227408142999
77,100,80,0.7765640516385303
78,100,96,0.7944389275074478
79,100,112,0.8068520357497517
80,100,128,0.8157894736842105
81,100,144,0.8252234359483615
82,100,160,0.8336643495531281
83,100,176,0.8351539225422046
84,100,192,0.8381330685203575
85,100,208,0.8411122144985105
86,100,224,0.8440913604766633
87,100,240,0.8445878848063555
88,100,256,0.8490566037735849
89,100,272,0.8540218470705064
90,125,0,0.04220456802383317
91,125,16,0.6946375372393248
92,125,32,0.7169811320754716
93,125,48,0.7378351539225422
94,125,64,0.7562065541211519
95,125,80,0.7795431976166832
96,125,96,0.7974180734856008
97,125,112,0.8098311817279047
98,125,128,0.8187686196623635
99,125,144,0.8286991062562066
100,125,160,0.8371400198609732
101,125,176,0.8386295928500497
102,125,192,0.8416087388282025
103,125,208,0.8445878848063555
104,125,224,0.8480635551142006
105,125,240,0.8485600794438928
106,125,256,0.8535253227408143
107,125,272,0.8584905660377359
108,150,0,0.04369414101290963
109,150,16,0.6976166832174776
110,150,32,0.7194637537239325
111,150,48,0.740317775571003
112,150,64,0.7586891757696127
113,150,80,0.7825223435948362
114,150,96,0.8003972194637538
115,150,112,0.8128103277060575
116,150,128,0.8217477656405164
117,150,144,0.8316782522343595
118,150,160,0.8406156901688183
119,150,176,0.8416087388282025
120,150,192,0.8445878848063555
121,150,208,0.8475670307845085
122,150,224,0.8510427010923535
123,150,240,0.8515392254220456
124,150,256,0.8565044687189672
125,150,272,0.8619662363455809
126,175,0,0.044687189672293945
127,175,16,0.6991062562065541
128,175,32,0.7209533267130089
129,175,48,0.7418073485600795
130,175,64,0.7601787487586892
131,175,80,0.7835153922542205
132,175,96,0.8013902681231381
133,175,112,0.8138033763654419
134,175,128,0.8227408142999006
135,175,144,0.8326713008937437
136,175,160,0.8416087388282025
137,175,176,0.8426017874875869
138,175,192,0.8455809334657398
139,175,208,0.8485600794438928
140,175,224,0.8520357497517378
141,175,240,0.85253227408143
142,175,256,0.8574975173783516
143,175,272,0.8629592850049652
144,200,0,0.044687189672293945
145,200,16,0.6996027805362462
146,200,32,0.7219463753723933
147,200,48,0.7428003972194638
148,200,64,0.7611717974180735
149,200,80,0.7845084409136047
150,200,96,0.8023833167825224
151,200,112,0.8147964250248262
152,200,128,0.823733862959285
153,200,144,0.8336643495531281
154,200,160,0.8426017874875869
155,200,176,0.8435948361469712
156,200,192,0.8465739821251241
157,200,208,0.8495531281032771
158,200,224,0.8530287984111221
159,200,240,0.8535253227408143
160,200,256,0.8584905660377359
161,200,272,0.8639523336643495
162,225,0,0.044687189672293945
163,225,16,0.7000993048659384
164,225,32,0.7224428997020854
165,225,48,0.7432969215491559
166,225,64,0.7616683217477657
167,225,80,0.7850049652432969
168,225,96,0.8028798411122146
169,225,112,0.8152929493545183
170,225,128,0.8242303872889771
171,225,144,0.8341608738828202
172,225,160,0.843098311817279
173,225,176,0.8440913604766633
174,225,192,0.8470705064548163
175,225,208,0.8500496524329693
176,225,224,0.8535253227408143
177,225,240,0.8540218470705064
178,225,256,0.858987090367428
179,225,272,0.8644488579940417
180,250,0,0.04568023833167825
181,250,16,0.702085402184707
182,250,32,0.7244289970208541
183,250,48,0.7452830188679245
184,250,64,0.7646474677259185
185,250,80,0.7879841112214498
186,250,96,0.8058589870903674
187,250,112,0.8182720953326713
188,250,128,0.8272095332671301
189,250,144,0.8371400198609732
190,250,160,0.8450844091360477
191,250,176,0.846077457795432
192,250,192,0.8490566037735849
193,250,208,0.8520357497517378
194,250,224,0.8555114200595829
195,250,240,0.8560079443892751
196,250,256,0.8609731876861966
197,250,272,0.8664349553128103
198,275,0,0.046176762661370406
199,275,16,0.7030784508440914
200,275,32,0.7249255213505462
201,275,48,0.7457795431976166
202,275,64,0.7651439920556107
203,275,80,0.788480635551142
204,275,96,0.8068520357497517
205,275,112,0.8192651439920556
206,275,128,0.8282025819265144
207,275,144,0.8381330685203575
208,275,160,0.846077457795432
209,275,176,0.8470705064548163
210,275,192,0.8500496524329693
211,275,208,0.8530287984111221
212,275,224,0.8565044687189672
213,275,240,0.8570009930486594
214,275,256,0.8619662363455809
215,275,272,0.8674280039721947
216,300,0,0.046176762661370406
217,300,16,0.7030784508440914
218,300,32,0.7249255213505462
219,300,48,0.7457795431976166
220,300,64,0.7651439920556107
221,300,80,0.788480635551142
222,300,96,0.8068520357497517
223,300,112,0.8197616683217478
224,300,128,0.8286991062562066
225,300,144,0.8391261171797418
226,300,160,0.8470705064548163
227,300,176,0.8480635551142006
228,300,192,0.8510427010923535
229,300,208,0.8540218470705064
230,300,224,0.8574975173783516
231,300,240,0.8579940417080437
232,300,256,0.8629592850049652
233,300,272,0.868421052631579
